district_code,state_abbr,district_name,latitude,longitude,winner_2024,votes_dem_2024,votes_gop_2024,votes_other_2024,percent_dem_2024,percent_gop_2024,percent_other_2024,two_party_dem_pct_2024,two_party_gop_pct_2024,two_party_dem_margin_2024,square_miles,geoidfq
AL-01,AL,AL-1,31.03,-86.79,Barry Moore,70929.0,258619.0,306.0,21.5,78.4,0.09,21.523116511100053,78.47688348889996,-56.9537669777999,7241.0,5001900US0101
AL-02,AL,AL-2,31.76,-86.63,Shomari Figures,158041.0,131414.0,219.0,54.56,45.37,0.08,54.59950596811248,45.40049403188751,9.19901193622497,9465.0,5001900US0102
AL-03,AL,AL-3,33.41,-85.77,Mike Rogers,,243848.0,5160.0,,97.93,2.07,0.0,100.0,-100.0,6690.0,5001900US0103
AL-04,AL,AL-4,34.12,-87.28,Robert B. Aderholt,,274498.0,3374.0,,98.79,1.21,0.0,100.0,-100.0,8630.0,5001900US0104
AL-05,AL,AL-5,34.69,-86.68,Dale Strong,,250322.0,12088.0,,95.39,4.61,0.0,100.0,-100.0,3902.0,5001900US0105
AL-06,AL,AL-6,32.96,-86.6,Gary Palmer,102504.0,243741.0,380.0,29.57,70.32,0.11,29.60447082268336,70.39552917731665,-40.791058354633286,4448.0,5001900US0106
AL-07,AL,AL-7,32.51,-87.61,Terri A. Sewell,186723.0,106312.0,185.0,63.68,36.26,0.06,63.720374699268,36.27962530073199,27.440749398536006,10275.0,5001900US0107
AK-AL,AK,AK-AL,63.42,-152.81,Nick Begich,152828.0,159550.0,13760.0,46.37,48.41,4.18,48.92405995300565,51.07594004699435,-2.1518800939886944,571239.0,5001900US0200
AZ-01,AZ,AZ-1,33.7,-111.66,David Schweikert,208966.0,225538.0,,48.09,51.91,,48.09299799311399,51.90700200688602,-3.814004013772028,1597.0,5001900US0401
AZ-02,AZ,AZ-2,35.12,-111.07,Eli Crane,184963.0,221413.0,,45.52,54.48,,45.51523712030238,54.48476287969763,-8.969525759395246,58353.0,5001900US0402
AZ-03,AZ,AZ-3,33.42,-112.12,Yassamin Ansari,143336.0,53705.0,5008.0,70.94,26.58,2.48,72.7442511964515,27.255748803548503,45.488502392903,206.0,5001900US0403
AZ-04,AZ,AZ-4,33.39,-111.86,Greg Stanton,176428.0,152052.0,6065.0,52.74,45.45,1.81,53.71042377009256,46.28957622990745,7.4208475401851,179.0,5001900US0404
AZ-05,AZ,AZ-5,33.29,-111.64,Andy Biggs,167680.0,255628.0,,39.61,60.39,,39.61181928997326,60.38818071002674,-20.77636142005348,405.0,5001900US0405
AZ-06,AZ,AZ-6,32.37,-109.96,Juan Ciscomani,204774.0,215596.0,10759.0,47.5,50.01,2.5,48.71280062801818,51.28719937198183,-2.5743987439636484,13692.0,5001900US0406
AZ-07,AZ,AZ-7,32.27,-112.3,Ra�l M. Grijalva,171954.0,99057.0,,63.45,36.55,,63.449085092487024,36.550914907512976,26.89817018497405,15418.0,5001900US0407
AZ-08,AZ,AZ-8,33.79,-112.2,"Abraham ""Abe"" Hamadeh",160344.0,208269.0,,43.5,56.5,,43.49927973240227,56.50072026759773,-13.001440535195457,575.0,5001900US0408
AZ-09,AZ,AZ-9,34.65,-113.71,Paul Gosar,132640.0,249583.0,,34.7,65.3,,34.70225496634164,65.29774503365836,-30.59549006731672,23229.0,5001900US0409
AR-01,AR,AR-1,35.36,-91.32,Rick Crawford,64113.0,194711.0,8353.0,24.0,72.88,3.13,24.770886780205853,75.22911321979414,-50.45822643958829,19849.0,5001900US0501
AR-02,AR,AR-2,35.16,-92.36,French Hill,125777.0,180509.0,,41.07,58.93,,41.06521355856944,58.93478644143055,-17.869572882861114,5302.0,5001900US0502
