district_code,rating
CA-06,likely_dem
CA-21,likely_dem
CA-45,likely_dem
IN-01,likely_dem
MI-08,likely_dem
MN-02,likely_dem
NH-01,likely_dem
NH-02,likely_dem
NJ-09,likely_dem
NV-01,likely_dem
NV-04,likely_dem
NY-19,likely_dem
OH-13,likely_dem
VA-07,likely_dem
AZ-01,lean_dem
AZ-06,lean_dem
CA-13,lean_dem
CA-48,lean_dem
NE-02,lean_dem
NM-02,lean_dem
NV-03,lean_dem
NY-03,lean_dem
NY-04,lean_dem
OH-01,lean_dem
TX-28,lean_dem
WA-03,lean_dem
CA-22,tossup
CO-08,tossup
FL-14,tossup
FL-25,tossup
IA-01,tossup
IA-03,tossup
MI-07,tossup
MI-10,tossup
NC-01,tossup
NC-11,tossup
NJ-07,tossup
NY-17,tossup
OH-07,tossup
OH-09,tossup
PA-07,tossup
PA-08,tossup
PA-10,tossup
TX-34,tossup
VA-02,tossup
WI-03,tossup
CO-03,lean_rep
FL-22,lean_rep
IA-02,lean_rep
ME-02,lean_rep
MI-04,lean_rep
MT-01,lean_rep
PA-01,lean_rep
TX-15,lean_rep
TX-35,lean_rep
VA-01,lean_rep
AK-AL,likely_rep
AL-02,likely_rep
AR-02,likely_rep
AZ-02,likely_rep
AZ-08,likely_rep
CO-04,likely_rep
CO-05,likely_rep
FL-04,likely_rep
FL-07,likely_rep
FL-09,likely_rep
FL-11,likely_rep
FL-13,likely_rep
FL-16,likely_rep
FL-27,likely_rep
KY-06,likely_rep
MN-01,likely_rep
MO-02,likely_rep
MO-05,likely_rep
NE-01,likely_rep
NJ-02,likely_rep
NV-02,likely_rep
NY-01,likely_rep
OH-08,likely_rep
OH-10,likely_rep
OH-15,likely_rep
SC-01,likely_rep
TX-23,likely_rep
TX-32,likely_rep
VA-05,likely_rep
WI-01,likely_rep
