district_code,section,holding_party,open_seat,noncontributing,incumbent,party_label,announced,reason,harris_pct,trump24_pct,biden_pct,trump20_pct,preferred_successor
AL-01,REP_OPEN,REP,True,False,Barry Moore,(R),12-Aug-25,Running for Senate,22.0,77.0,24.0,75.0,
AZ-01,REP_OPEN,REP,True,False,David Schweikert,(R),30-Sep-25,Running for governor,48.0,51.0,50.0,49.0,
AZ-05,REP_OPEN,REP,True,False,Andy Biggs,(R),25-Jan-25,Running for governor,39.0,59.0,41.0,57.0,
CA-03,REP_OPEN,REP,True,False,Kevin Kiley,(I),2-Mar-26,Running for CA-06,,,,,
CA-41,REP_OPEN,REP,True,False,Ken Calvert,(R),5-Nov-25,Running for CA-40,,,,,
CA-48,REP_OPEN,REP,True,False,Darrell Issa,(R),6-Mar-26,Retiring,,,,,Jim Desmond
FL-02,REP_OPEN,REP,True,False,Neal Dunn,(R),13-Jan-26,Retiring,41.0,59.0,44.0,55.0,
FL-16,REP_OPEN,REP,True,False,Vern Buchanan,(R),27-Jan-26,Retiring,42.0,57.0,45.0,54.0,
FL-19,REP_OPEN,REP,True,False,Byron Donalds,(R),25-Feb-25,Running for governor,35.0,64.0,39.0,60.0,
GA-01,REP_OPEN,REP,True,False,Buddy Carter,(R),8-May-25,Running for Senate,42.0,58.0,43.0,56.0,
GA-10,REP_OPEN,REP,True,False,Mike Collins,(R),28-Jul-25,Running for Senate,39.0,60.0,39.0,60.0,
GA-11,REP_OPEN,REP,True,False,Barry Loudermilk,(R),4-Feb-26,Retiring,38.0,61.0,38.0,60.0,Rob Adkerson
IA-02,REP_OPEN,REP,True,False,Ashley Hinson,(R),2-Sep-25,Running for Senate,44.0,54.0,47.0,51.0,
IA-04,REP_OPEN,REP,True,False,Randy Feenstra,(R),28-Oct-25,Running for governor,34.0,65.0,36.0,62.0,
KY-06,REP_OPEN,REP,True,False,Andy Barr,(R),22-Apr-25,Running for Senate,42.0,57.0,44.0,54.0,
LA-05,REP_OPEN,REP,True,False,Julia Letlow,(R),20-Jan-26,Running for Senate,31.0,67.0,32.0,66.0,
MI-10,REP_OPEN,REP,True,False,John James,(R),7-Apr-25,Running for governor,46.0,52.0,49.0,50.0,
MO-06,REP_OPEN,REP,True,False,Sam Graves,(R),27-Mar-26,Retiring,,,,,Chris Stigall
MT-01,REP_OPEN,REP,True,False,Ryan Zinke,(R),2-Mar-26,Retiring,43.0,54.0,45.0,52.0,Aaron Flint
NE-02,REP_OPEN,REP,True,False,Don Bacon,(R),27-Jun-25,Retiring,52.0,47.0,52.0,46.0,
NV-02,REP_OPEN,REP,True,False,Mark Amodei,(R),6-Feb-26,Retiring,42.0,56.0,43.0,54.0,James Settelmeyer
NY-21,REP_OPEN,REP,True,False,Elise Stefanik,(R),7-Nov-25,Retiring,39.0,60.0,41.0,57.0,
OK-01,REP_OPEN,REP,True,False,Kevin Hern,(R),11-Mar-26,Running for Senate,38.0,60.0,38.0,59.0,
