district_code,incumbent_label,party_label,pres24_dem_pct,pres24_gop_pct,pres24_dem_margin,pres20_dem_pct,pres20_gop_pct,pres20_dem_margin
AK-AL,Nick Begich,(R),41.0,,,43.0,,
AL-01,Barry Moore,(R),22.0,,,24.0,,
AL-02,Shomari Figures,(D),54.0,,,56.0,,
AL-03,Mike Rogers,(R),26.0,,,29.0,,
AL-04,Robert Aderholt,(R),16.0,,,18.0,,
AL-05,Dale Strong,(R),35.0,,,36.0,,
AL-06,Gary Palmer,(R),30.0,,,30.0,,
AL-07,Terri Sewell,(D),61.0,,,64.0,,
AR-01,Rick Crawford,(R),26.0,,,28.0,,
AR-02,French Hill,(R),41.0,,,42.0,,
AR-03,Steve Womack,(R),36.0,,,37.0,,
AR-04,Bruce Westerman,(R),29.0,,,31.0,,
AZ-01,David Schweikert,(R),48.0,,,50.0,,
AZ-02,Eli Crane,(R),42.0,,,45.0,,
AZ-03,Yassamin Ansari,(D),69.0,,,75.0,,
AZ-04,Greg Stanton,(D),53.0,,,54.0,,
AZ-05,Andy Biggs,(R),39.0,,,41.0,,
AZ-06,Juan Ciscomani,(R),49.0,,,49.3,,
AZ-07,Adelita Grijalva,(D),60.0,,,66.0,,
AZ-08,Abe Hamadeh,(R),41.0,,,43.0,,
AZ-09,Paul Gosar,(R),34.0,,,36.0,,
CA-01,VACANT (LaMalfa),(R),36.0,,,39.0,,
CA-02,Jared Huffman,(D),71.0,,,74.0,,
CA-03,Kevin Kiley,(R),47.0,,,48.0,,
CA-04,Mike Thompson,(D),64.0,,,67.0,,
CA-05,Tom McClintock,(R),40.0,,,43.0,,
CA-06,Ami Bera,(D),55.0,,,58.0,,
CA-07,Doris Matsui,(D),63.0,,,67.0,,
CA-08,John Garamendi,(D),70.0,,,76.0,,
CA-09,Josh Harder,(D),48.0,,,55.0,,
CA-10,Mark DeSaulnier,(D),65.0,,,69.0,,
CA-11,Nancy Pelosi,(D),82.0,,,86.0,,
CA-12,Lateefah Simon,(D),85.0,,,89.0,,
CA-13,Adam Gray,(D),46.0,,,54.0,,
CA-14,Eric Swalwell,(D),66.0,,,72.0,,
CA-15,Kevin Mullin,(D),72.0,,,78.0,,
CA-16,Sam Liccardo,(D),72.0,,,75.0,,
CA-17,Ro Khanna,(D),67.0,,,73.0,,
CA-18,Zoe Lofgren,(D),63.0,,,71.0,,
CA-19,Jimmy Panetta,(D),65.0,,,69.0,,
CA-20,Vince Fong,(R),34.0,,,36.0,,
CA-21,Jim Costa,(D),51.0,,,59.0,,
CA-22,David Valadao,(R),46.0,,,55.0,,
CA-23,Jay Obernolte,(R),40.0,,,44.0,,
CA-24,Salud Carbajal,(D),61.0,,,63.0,,
CA-25,Raul Ruiz,(D),50.0,,,57.0,,
CA-26,Julia Brownley,(D),55.0,,,59.0,,
CA-27,George Whitesides,(D),50.0,,,55.0,,
CA-28,Judy Chu,(D),62.0,,,66.0,,
CA-29,Luz Rivas,(D),66.0,,,75.0,,
CA-30,Laura Friedman,(D),69.0,,,72.0,,
CA-31,Gil Cisneros,(D),57.0,,,64.0,,
CA-32,Brad Sherman,(D),64.0,,,69.0,,
CA-33,Pete Aguilar,(D),53.0,,,62.0,,
CA-34,Jimmy Gomez,(D),73.0,,,81.0,,
CA-35,Norma Torres,(D),54.0,,,63.0,,
CA-36,Ted Lieu,(D),68.0,,,71.0,,
CA-37,Sydney Kamlager-Dove,(D),79.0,,,86.0,,
CA-38,Linda Sanchez,(D),56.0,,,64.0,,
CA-39,Mark Takano,(D),53.0,,,62.0,,
CA-40,Young Kim,(R),47.0,,,50.0,,
CA-41,Ken Calvert,(R),46.0,,,49.0,,
CA-42,Robert Garcia,(D),64.0,,,72.0,,
CA-43,Maxine Waters,(D),73.0,,,81.0,,
CA-44,Nanette Barragan,(D),65.0,,,73.0,,
CA-45,Derek Tran,(D),49.0,,,52.0,,
CA-46,Lou Correa,(D),57.0,,,64.0,,
CA-47,Dave Min,(D),50.0,,,54.0,,
CA-48,Darrell Issa,(R),41.0,,,43.0,,
CA-49,Mike Levin,(D),52.0,,,55.0,,
CA-50,Scott Peters,(D),63.0,,,65.0,,
CA-51,Sara Jacobs,(D),60.0,,,62.0,,
CA-52,Juan Vargas,(D),59.0,,,67.0,,
CO-01,Diana DeGette,(D),77.0,,,80.0,,
CO-02,Joe Neguse,(D),69.0,,,69.0,,
CO-03,Jeff Hurd,(R),44.0,,,45.0,,
CO-04,Lauren Boebert,(R),40.0,,,39.0,,
CO-05,Jeff Crank,(R),44.0,,,43.0,,
CO-06,Jason Crow,(D),58.0,,,61.0,,
CO-07,Brittany Pettersen,(D),56.0,,,56.0,,
CO-08,Gabe Evans,(R),48.0,,,51.0,,
CT-01,John Larson,(D),61.0,,,63.0,,
CT-02,Joe Courtney,(D),53.0,,,55.0,,
CT-03,Rosa DeLauro,(D),56.0,,,59.0,,
