district_code,section,holding_party,open_seat,noncontributing
AL-01,REP_OPEN,REP,True,False
AZ-01,REP_OPEN,REP,True,False
AZ-05,REP_OPEN,REP,True,False
CA-03,REP_OPEN,REP,True,False
CA-41,REP_OPEN,REP,True,False
CA-48,REP_OPEN,REP,True,False
FL-02,REP_OPEN,REP,True,False
FL-16,REP_OPEN,REP,True,False
FL-19,REP_OPEN,REP,True,False
GA-01,REP_OPEN,REP,True,False
GA-10,REP_OPEN,REP,True,False
GA-11,REP_OPEN,REP,True,False
IA-02,REP_OPEN,REP,True,False
IA-04,REP_OPEN,REP,True,False
KY-06,REP_OPEN,REP,True,False
LA-05,REP_OPEN,REP,True,False
MI-10,REP_OPEN,REP,True,False
MO-06,REP_OPEN,REP,True,False
MT-01,REP_OPEN,REP,True,False
NE-02,REP_OPEN,REP,True,False
NV-02,REP_OPEN,REP,True,False
NY-21,REP_OPEN,REP,True,False
OK-01,REP_OPEN,REP,True,False
SC-01,REP_OPEN,REP,True,False
SC-05,REP_OPEN,REP,True,False
SD-AL,REP_OPEN,REP,True,False
TN-06,REP_OPEN,REP,True,False
TX-02,REP_OPEN,REP,True,False
TX-08,REP_OPEN,REP,True,False
TX-10,REP_OPEN,REP,True,False
TX-19,REP_OPEN,REP,True,False
TX-21,REP_OPEN,REP,True,False
TX-22,REP_OPEN,REP,True,False
TX-23,REP_OPEN,REP,True,False
TX-38,REP_OPEN,REP,True,False
UT-04,REP_OPEN,REP,True,False
WA-04,REP_OPEN,REP,True,False
WI-07,REP_OPEN,REP,True,False
WY-AL,REP_OPEN,REP,True,False
CA-06,DEM_OPEN,DEM,True,False
CA-11,DEM_OPEN,DEM,True,False
CA-14,DEM_OPEN,DEM,True,False
CA-26,DEM_OPEN,DEM,True,False
CA-38,DEM_OPEN,DEM,True,False
IL-02,DEM_OPEN,DEM,True,False
IL-04,DEM_OPEN,DEM,True,False
IL-07,DEM_OPEN,DEM,True,False
IL-08,DEM_OPEN,DEM,True,False
IL-09,DEM_OPEN,DEM,True,False
MA-06,DEM_OPEN,DEM,True,False
MD-05,DEM_OPEN,DEM,True,False
ME-02,DEM_OPEN,DEM,True,False
MI-11,DEM_OPEN,DEM,True,False
MN-02,DEM_OPEN,DEM,True,False
NH-01,DEM_OPEN,DEM,True,False
NJ-12,DEM_OPEN,DEM,True,False
NY-07,DEM_OPEN,DEM,True,False
NY-12,DEM_OPEN,DEM,True,False
PA-03,DEM_OPEN,DEM,True,False
TX-09,DEM_OPEN,DEM,True,False
TX-30,DEM_OPEN,DEM,True,False
TX-32,DEM_OPEN,DEM,True,False
TX-33,DEM_OPEN,DEM,True,False
TX-35,DEM_OPEN,DEM,True,False
TX-37,DEM_OPEN,DEM,True,False
CA-01,NONCONTRIB,,False,True
GA-14,NONCONTRIB,,False,True
NJ-11,NONCONTRIB,,False,True
AZ-07,NONCONTRIB,,False,True
FL-01,NONCONTRIB,,False,True
FL-06,NONCONTRIB,,False,True
TN-07,NONCONTRIB,,False,True
TX-18,NONCONTRIB,,False,True
VA-11,NONCONTRIB,,False,True
