field_dates,end_date,sample_size,population,pollster,pct_a,pct_b,margin_a,label_a,label_b,topline_source,metadata_source,notes
Mar 27 – 30,2026-03-30,1679,ADULTS,YouGov / The Economist,35.0,58.0,-23.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.
Mar 27 – 30,2026-03-30,1505,RV,YouGov / The Economist,39.0,58.0,-19.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.
Mar 26 – 30,2026-03-30,1201,ADULTS,SSRS / CNN,35.0,64.0,-29.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.
Mar 27 – 29,2026-03-29,2203,RV,Morning Consult,43.0,54.0,-11.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.
Mar 18 – 26,2026-03-26,3000,RV,RMG Research / Napolitan News Service,45.0,54.0,-9.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.
Mar 22 – 26,2026-03-26,1873,LV,Rasmussen Reports,44.0,55.0,-11.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.
Mar 25 – 26,2026-03-26,1472,LV,Quantus Insights,42.2,56.6,-14.4,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.
Mar 25 – 26,2026-03-26,2009,RV,Harris Poll / Harvard University Center for American Political Studies,43.0,53.0,-10.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.
Mar 20 – 25,2026-03-25,1000,ADULTS,University of Massachusetts Department of Political Science / YouGov,33.0,62.0,-29.0,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.
Mar 22 – 24,2026-03-24,3003,RV,Big Data Poll,42.3,55.7,-13.4,Approve,Disapprove,ddhq_visible_seed,field_dates_seed,Visible row from DDHQ approval page as of 2026-04-01.
Mar 20 – 23,2026-03-23,2205,RV,Morning Consult,43.0,54.0,-11.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 17 – 20,2026-03-20,1489,RV,Marist College,42.0,55.0,-13.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 17 – 19,2026-03-19,1873,LV,Rasmussen Reports,46.0,53.0,-7.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 14 – 18,2026-03-18,1500,ADULTS,Ipsos / Reuters,38.0,57.0,-19.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
Mar 13 – 16,2026-03-16,2201,RV,Morning Consult,43.0,54.0,-11.0,Approve,Disapprove,historical_seed,field_dates_seed,Historical approval poll.
