as_of_date,gop_control_prob,dem_control_prob,tied_chamber_prob,expected_gop_seats,median_gop_seats,gop_seat_q05,gop_seat_q25,gop_seat_q75,gop_seat_q95,expected_dem_seats,national_mean_margin_dem,generic_ballot_margin_dem,trump_approve_pct,trump_disapprove_pct,trump_net_approval,visible_general_poll_rows,visible_primary_poll_rows,states_with_general_polls,states_with_primary_polls,days_to_election
2025-01-23,0.9246666666666666,0.07533333333333334,0.07283333333333333,52.970166666666664,53.0,49.0,51.0,55.0,57.0,47.029833333333336,-0.5658849839316259,-1.9505643392028376,39.5,56.9,-17.4,0,0,0,0,649
2025-01-24,0.9311666666666667,0.06883333333333333,0.06983333333333333,53.034166666666664,53.0,49.0,51.0,55.0,57.0,46.965833333333336,-0.5614648856930063,-1.9505643392028376,39.5,56.9,-17.4,0,0,0,0,648
2025-01-25,0.925,0.075,0.07133333333333333,52.979,53.0,49.0,51.0,55.0,57.0,47.021,-0.5570506542332202,-1.9505643392028376,39.5,56.9,-17.4,0,0,0,0,647
2025-01-26,0.9313333333333333,0.06866666666666667,0.06966666666666667,53.02466666666667,53.0,49.0,51.0,55.0,57.0,46.97533333333333,-0.5526422778795851,-1.9505643392028376,39.5,56.9,-17.4,0,0,0,0,646
2025-01-27,0.9286666666666666,0.07133333333333333,0.06583333333333333,53.040166666666664,53.0,49.0,51.0,55.0,57.0,46.959833333333336,-0.548239744990365,-1.9505643392028376,39.5,56.9,-17.4,0,0,0,0,645
2025-01-28,0.922,0.078,0.07316666666666667,52.962,53.0,49.0,51.0,55.0,57.0,47.038,-0.5438430439546654,-1.9505643392028376,39.5,56.9,-17.4,0,0,0,0,644
2025-01-29,0.9236666666666666,0.07633333333333334,0.078,52.93383333333333,53.0,49.0,51.0,55.0,57.0,47.06616666666667,-0.5394521631923326,-1.9505643392028376,39.5,56.9,-17.4,0,0,0,0,643
2025-01-30,0.9301666666666667,0.06983333333333333,0.06783333333333333,53.035833333333336,53.0,49.0,52.0,55.0,57.0,46.964166666666664,-0.5350670911538529,-1.9505643392028376,39.5,56.9,-17.4,0,0,0,0,642
2025-01-31,0.9225,0.0775,0.07716666666666666,52.941,53.0,49.0,51.0,55.0,57.0,47.059,-0.5306878163202486,-1.9505643392028376,39.5,56.9,-17.4,0,0,0,0,641
2025-02-01,0.9273333333333333,0.07266666666666667,0.071,52.9535,53.0,49.0,51.0,55.0,57.0,47.0465,-0.2368653803167997,-0.7849198681030045,39.5,56.9,-17.4,0,0,0,0,640
2025-02-02,0.9226666666666666,0.07733333333333334,0.07433333333333333,52.951,53.0,49.0,51.0,55.0,57.0,47.049,-0.232194656813914,-0.7849198681030045,39.5,56.9,-17.4,0,0,0,0,639
2025-02-03,0.9226666666666666,0.07733333333333334,0.0745,52.9465,53.0,49.0,51.0,55.0,57.0,47.0535,-0.2275308244217106,-0.7849198681030045,39.5,56.9,-17.4,0,0,0,0,638
2025-02-04,0.922,0.078,0.077,52.89416666666666,53.0,49.0,51.0,54.0,57.0,47.10583333333334,-0.2228738679008797,-0.7849198681030045,39.5,56.9,-17.4,0,0,0,0,637
2025-02-05,0.9266666666666666,0.07333333333333333,0.07333333333333333,52.9695,53.0,49.0,51.0,55.0,57.0,47.0305,-0.4207171040000222,-0.8442532955712096,39.5,56.9,-17.4,0,0,0,0,636
2025-02-06,0.9193333333333333,0.08066666666666666,0.07483333333333334,52.9045,53.0,49.0,51.0,54.25,57.0,47.0955,-0.1843609913305845,-0.5263289334873513,39.5,56.9,-17.4,0,0,0,0,635
2025-02-07,0.9248333333333333,0.07516666666666667,0.0815,52.89666666666667,53.0,49.0,51.0,55.0,57.0,47.10333333333333,-0.1795880426895948,-0.5263289334873513,39.5,56.9,-17.4,0,0,0,0,634
2025-02-08,0.923,0.077,0.07033333333333333,52.94766666666667,53.0,49.0,51.0,55.0,57.0,47.05233333333333,-0.1748223501571534,-0.5263289334873513,39.5,56.9,-17.4,0,0,0,0,633
2025-02-09,0.9273333333333333,0.07266666666666667,0.07466666666666667,52.94866666666667,53.0,49.0,51.0,55.0,57.0,47.05133333333333,-0.170063897199104,-0.5263289334873513,39.5,56.9,-17.4,0,0,0,0,632
2025-02-10,0.9268333333333333,0.07316666666666667,0.07583333333333334,53.010333333333335,53.0,49.0,52.0,55.0,57.0,46.989666666666665,-0.165312667331486,-0.5263289334873513,39.5,56.9,-17.4,0,0,0,0,631
2025-02-11,0.9213333333333333,0.07866666666666666,0.07716666666666666,52.897666666666666,53.0,49.0,51.0,54.0,57.0,47.102333333333334,-0.1605686441203446,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,630
2025-02-12,0.9246666666666666,0.07533333333333334,0.07666666666666666,52.8615,53.0,49.0,51.0,54.0,57.0,47.1385,-0.155831811181541,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,629
2025-02-13,0.9246666666666666,0.07533333333333334,0.0775,52.89516666666667,53.0,49.0,51.0,54.0,57.0,47.10483333333333,-0.1511021521805643,-0.5263289334873513,39.5,56.9,-17.4,1,0,1,0,628
