state_abbr,party,stage,end_date,sample_size,population,pollster,candidate,share_pct,state_name
GA,REP,primary,2026-03-09,560,LV,JMC Analytics,Mike Collins,31,Georgia
GA,REP,primary,2026-03-09,560,LV,JMC Analytics,Buddy Carter,11,Georgia
GA,REP,primary,2026-03-09,560,LV,JMC Analytics,Derek Dooley,13,Georgia
GA,REP,primary,2026-03-09,560,LV,JMC Analytics,Other,45,Georgia
GA,REP,primary,2026-03-05,453,LV,Emerson College,Mike Collins,30,Georgia
GA,REP,primary,2026-03-05,453,LV,Emerson College,Buddy Carter,16,Georgia
GA,REP,primary,2026-03-05,453,LV,Emerson College,Derek Dooley,10,Georgia
GA,REP,primary,2026-03-05,453,LV,Emerson College,Other,44,Georgia
GA,REP,primary,2026-02-19,1337,LV,Quantus Insights,Mike Collins,36,Georgia
GA,REP,primary,2026-02-19,1337,LV,Quantus Insights,Buddy Carter,11,Georgia
GA,REP,primary,2026-02-19,1337,LV,Quantus Insights,Derek Dooley,9,Georgia
GA,REP,primary,2026-02-19,1337,LV,Quantus Insights,Other,44,Georgia
GA,REP,primary,2026-01-21,600,LV,Public Opinion Strategies,Mike Collins,32,Georgia
GA,REP,primary,2026-01-21,600,LV,Public Opinion Strategies,Buddy Carter,16,Georgia
GA,REP,primary,2026-01-21,600,LV,Public Opinion Strategies,Derek Dooley,12,Georgia
GA,REP,primary,2026-01-21,600,LV,Public Opinion Strategies,Other,40,Georgia
GA,REP,primary,2025-10-31,1000,LV,University of Georgia,Mike Collins,30,Georgia
GA,REP,primary,2025-10-31,1000,LV,University of Georgia,Buddy Carter,20,Georgia
GA,REP,primary,2025-10-31,1000,LV,University of Georgia,Derek Dooley,12,Georgia
GA,REP,primary,2025-10-31,1000,LV,University of Georgia,Other,38,Georgia
GA,REP,primary,2025-10-27,1320,RV,Quantus Insights,Mike Collins,28,Georgia
GA,REP,primary,2025-10-27,1320,RV,Quantus Insights,Buddy Carter,16,Georgia
GA,REP,primary,2025-10-27,1320,RV,Quantus Insights,Derek Dooley,16,Georgia
GA,REP,primary,2025-10-27,1320,RV,Quantus Insights,Other,40,Georgia
NH,REP,primary,2026-03-26,524,LV,Emerson College,Chris Sununu,48,New Hampshire
NH,REP,primary,2026-03-26,524,LV,Emerson College,Scott Brown,19,New Hampshire
NH,REP,primary,2026-03-26,524,LV,Emerson College,Other,33,New Hampshire
NH,REP,primary,2026-03-23,673,RV,Saint Anselm College,Chris Sununu,49,New Hampshire
NH,REP,primary,2026-03-23,673,RV,Saint Anselm College,Scott Brown,28,New Hampshire
NH,REP,primary,2026-03-23,673,RV,Saint Anselm College,Other,23,New Hampshire
NH,REP,primary,2026-01-21,967,LV,University of New Hampshire,Chris Sununu,48,New Hampshire
NH,REP,primary,2026-01-21,967,LV,University of New Hampshire,Scott Brown,25,New Hampshire
NH,REP,primary,2026-01-21,967,LV,University of New Hampshire,Other,27,New Hampshire
NH,REP,primary,2025-11-24,1000,RV,Saint Anselm College,Chris Sununu,39,New Hampshire
NH,REP,primary,2025-11-24,1000,RV,Saint Anselm College,Scott Brown,30,New Hampshire
NH,REP,primary,2025-11-24,1000,RV,Saint Anselm College,Other,31,New Hampshire
